Date,Week,Open,High,Low,Close,Adj Close,Volume
2015/3/17,2,4912.649902,4944.910156,4907.02002,4937.430176,4937.430176,1724370000
2015/3/18,3,4926.830078,5001.569824,4907.720215,4982.830078,4982.830078,1983570000
2015/3/19,4,4982.02002,5000.02002,4979.939941,4992.379883,4992.379883,1674970000
2015/3/20,5,5033.470215,5042.140137,5020.069824,5026.419922,5026.419922,2825670000
2015/3/23,1,5020.600098,5031.390137,5010.970215,5010.970215,5010.970215,1608880000
2015/3/24,2,5010.100098,5032.47998,4994.560059,4994.72998,4994.72998,1611670000
2015/3/25,3,5002.830078,5006.759766,4876.52002,4876.52002,4876.52002,2219520000
2015/3/26,4,4835.709961,4889.209961,4825.930176,4863.359863,4863.359863,2004960000
2015/3/27,5,4863.740234,4899.259766,4859.660156,4891.220215,4891.220215,1678650000
2015/3/30,1,4921.779785,4948.459961,4921.120117,4947.439941,4947.439941,1778520000
2015/3/31,2,4925.910156,4940.870117,4899.310059,4900.879883,4900.879883,1837660000
2015/4/1,3,4894.359863,4899.379883,4844.390137,4880.22998,4880.22998,1874960000
2015/4/2,4,4885.410156,4901.330078,4872.959961,4886.939941,4886.939941,1563670000
2015/4/6,1,4855.939941,4929.620117,4852.910156,4917.319824,4917.319824,1737560000
2015/4/7,2,4917.5,4948.879883,4909.77002,4910.22998,4910.22998,1572940000
2015/4/8,3,4914.149902,4956.720215,4914.149902,4950.819824,4950.819824,1714210000
2015/4/9,4,4950.839844,4975.930176,4928.109863,4974.560059,4974.560059,1729750000
2015/4/10,5,4977.029785,4996.080078,4970.02002,4995.97998,4995.97998,1494240000
2015/4/13,1,5001.549805,5024.25,4985.959961,4988.25,4988.25,1544190000
2015/4/14,2,4988.819824,4996.819824,4952.009766,4977.290039,4977.290039,1571360000
2015/4/15,3,4992.620117,5021.189941,4989.240234,5011.02002,5011.02002,1795530000
2015/4/16,4,4999.359863,5016,4996,5007.790039,5007.790039,1662850000
2015/4/17,5,4966.109863,4974.089844,4912.330078,4931.810059,4931.810059,1985190000
2015/4/20,1,4958.069824,5000.200195,4952.680176,4994.600098,4994.600098,1646340000
2015/4/21,2,5023.959961,5028.220215,5009.509766,5014.100098,5014.100098,1721260000
2015/4/22,3,5026.569824,5040.649902,4992.620117,5035.169922,5035.169922,1696380000
2015/4/23,4,5020.220215,5073.089844,5019.290039,5056.060059,5056.060059,1858620000
2015/4/24,5,5096.339844,5100.370117,5081.209961,5092.080078,5092.080078,1895150000
2015/4/27,1,5104.359863,5119.830078,5053.540039,5060.25,5060.25,2172470000
2015/4/28,2,5063.259766,5075.299805,5006.279785,5055.419922,5055.419922,2032500000
2015/4/29,3,5028.450195,5053.839844,4999.830078,5023.640137,5023.640137,1871300000
2015/4/30,4,4996.990234,5015.959961,4921.549805,4941.419922,4941.419922,2269290000
2015/5/1,5,4966.319824,5005.390137,4962.740234,5005.390137,5005.390137,1854400000
2015/5/4,1,5018.350098,5043.620117,5013.02002,5016.930176,5016.930176,1668200000
2015/5/5,2,5000.200195,5008.27002,4934.339844,4939.330078,4939.330078,2069490000
2015/5/6,3,4956.700195,4965.100098,4888.169922,4919.640137,4919.640137,2144620000
2015/5/7,4,4917.75,4957.120117,4914.529785,4945.540039,4945.540039,2042960000
2015/5/8,5,4991.629883,5014.330078,4989.259766,5003.549805,5003.549805,1978760000
2015/5/11,1,5003.259766,5017.379883,4992.02002,4993.569824,4993.569824,1731390000
2015/5/12,2,4966.439941,4995.5,4931.600098,4976.189941,4976.189941,1705870000
2015/5/13,3,4991.419922,5012.970215,4977.490234,4981.689941,4981.689941,1672260000
2015/5/14,4,5016.680176,5051.720215,4999.649902,5050.799805,5050.799805,1741970000
2015/5/15,5,5059.149902,5062.649902,5034.839844,5048.290039,5048.290039,1667260000
2015/5/18,1,5040.919922,5084.5,5037.540039,5078.439941,5078.439941,1643870000
2015/5/19,2,5080.439941,5087.350098,5062.799805,5070.029785,5070.029785,1750980000
2015/5/20,3,5072.439941,5097.52002,5050.209961,5071.740234,5071.740234,1786830000
2015/5/21,4,5065.939941,5098.22998,5062.509766,5090.790039,5090.790039,1683670000
2015/5/22,5,5085.390137,5103.839844,5085.189941,5089.359863,5089.359863,1544920000
